Basin,Epoch,d13C TOC,"d13C C29 (mean, VPDB)","d13C C31 (mean, VPDB)"
Bighorn Basin,Eocene,-26.8,-31.5,-31.8
Bighorn Basin,Eocene,-28.1,-31.5,-32.2
Bighorn Basin,Eocene,-28,-30.7,-31.8
Bighorn Basin,Eocene,-27.5,-31.1,-30.9
Bighorn Basin,Eocene,-27.5,-32.2,-33.4
Bighorn Basin,Eocene,-27.4,-30.8,-30.5
Bighorn Basin,Eocene,-27.9,-31.8,-32.3
Bighorn Basin,Eocene,-27.8,-31.5,-32.6
Bighorn Basin,Eocene,-27.7,-31.8,-32
Bighorn Basin,Eocene,-28.2,-31.9,-32
Bighorn Basin,Eocene,-25.7,,
Bighorn Basin,Eocene,-26.8,-30,-31.4
Bighorn Basin,Eocene,-26.5,-30.9,
Bighorn Basin,Eocene,-26.4,-30.4,-31.2
Bighorn Basin,Eocene,-26.8,-30.7,-30.9
Bighorn Basin,Eocene,-26.5,-30.9,-31.3
Bighorn Basin,Eocene,-26.6,-31.3,-31.7
Bighorn Basin,Eocene,-27,-31,-31.8
Bighorn Basin,Eocene,-26.4,-30.8,-31.8
Bighorn Basin,Eocene,-26.5,-30.1,-31.3
Bighorn Basin,Eocene,-25.8,-30.6,-32
Bighorn Basin,Eocene,-26.7,-33.1,-32.5
Bighorn Basin,Eocene,-26.8,-30.9,
Bighorn Basin,Eocene,-28.9,-31.7,-31.1
Bighorn Basin,Eocene,-25.8,-30.9,-31.7
Bighorn Basin,Eocene,-25.5,-31.2,-31.9
Bighorn Basin,Eocene,-26.6,-31.4,-32.2
Bighorn Basin,PETM,-29.2,-34.2,-34
Bighorn Basin,PETM,-28.5,-33.2,-34.5
Bighorn Basin,PETM,-30.3,-33.9,-35
Bighorn Basin,PETM,-30.4,-34.5,-35.1
Bighorn Basin,PETM,-29.2,-35,-35.7
Bighorn Basin,PETM,-27.7,-34.2,-35.8
Bighorn Basin,PETM,-28.1,-35.8,-36.7
Bighorn Basin,PETM,-27.3,-35.8,-36.6
Bighorn Basin,PETM,-28,-34.4,-33.8
Bighorn Basin,PETM,-25.3,-34.4,-35.6
Bighorn Basin,PETM,-31.4,-36.4,-37.2
Bighorn Basin,PETM,-26.3,-33.7,
Bighorn Basin,PETM,-28.4,-35.3,-36.3
Bighorn Basin,PETM,-26.3,-34.1,-35.8
Bighorn Basin,PETM,-28.3,-35.5,-36.5
Bighorn Basin,PETM,-27.6,-34.4,-36.1
Bighorn Basin,Paleocene,-24.2,-29.9,-30.3
Bighorn Basin,Paleocene,-26.5,-30.7,-30
Bighorn Basin,Paleocene,-26.2,-30.8,-30.5
Bighorn Basin,Paleocene,-26.1,-31,-30.8
Bighorn Basin,Paleocene,-25.9,-30.7,-31.4
Bighorn Basin,Paleocene,-25.7,-30.1,-30.8
Bighorn Basin,Paleocene,-25.7,-29.8,-30.4
Bighorn Basin,Paleocene,-26.3,-31.3,-32.6
Bighorn Basin,Paleocene,-26.6,-31.4,-32.3
Bighorn Basin,Paleocene,-25.6,-30.7,-31.1
Bighorn Basin,Paleocene,-26.8,-31.6,-32.6
Bighorn Basin,Paleocene,-25.6,-30.7,-31.4
Bighorn Basin,Paleocene,-27.4,-31.1,-31.4
Bighorn Basin,Paleocene,-25.9,-30.7,-30.3
Bighorn Basin,Paleocene,-25.6,-31.2,-31.4
Bighorn Basin,Paleocene,-27,-32.3,-32.6
Bighorn Basin,Paleocene,-27.7,-32,-32.5
Bighorn Basin,Paleocene,-26.9,-32,-32.5
Bighorn Basin,Paleocene,-25.6,-31,-31.8
Bighorn Basin,Paleocene,-25.8,-30.9,-31.6
Bighorn Basin,Paleocene,-25.6,-30.9,-31.9
Bighorn Basin,Paleocene,-26.2,-32,-32.8
Bighorn Basin,Paleocene,-25.6,-30.7,-29.8
Bighorn Basin,Paleocene,-23.5,-29.8,-29.5
Bighorn Basin,Paleocene,-25.2,-30.8,-31
Bighorn Basin,Paleocene,-25.9,-31.2,-31.5
Bighorn Basin,Paleocene,-25.1,-30.9,-30.8
Bighorn Basin,Paleocene,-25.8,-28.9,-31.4
Bighorn Basin,Paleocene,-25,-30.2,-30.1
Bighorn Basin,Paleocene,-25.1,-31.4,-31.6
Bighorn Basin,Paleocene,-24.8,-32.9,-33.2
Bighorn Basin,Paleocene,-24.8,-30.4,-31.4
Bighorn Basin,Paleocene,-25.5,-32.6,-33.5
Bighorn Basin,Paleocene,-25.4,-32.1,-31.9
Bighorn Basin,Paleocene,-25.2,-32.3,-32.8
Bighorn Basin,Paleocene,-25.2,-30.4,-30.4
Bighorn Basin,Paleocene,-24.7,,
Bighorn Basin,Paleocene,-25.7,,
Bighorn Basin,Paleocene,-24.8,,
Bighorn Basin,Paleocene,-24.8,,
Bighorn Basin,Paleocene,-24.9,,
Bighorn Basin,Paleocene,-24.8,,
Bighorn Basin,Paleocene,-24.9,,
Bighorn Basin,Paleocene,-25.2,,
Bighorn Basin,Paleocene,-26.2,,
Bighorn Basin,Paleocene,-25.8,,
Bighorn Basin,Paleocene,-24.4,,
Bighorn Basin,Paleocene,-24.6,,
Bighorn Basin,Paleocene,-26.3,,
Bighorn Basin,Paleocene,-25.5,,
Bighorn Basin,Paleocene,-25.4,,
Bighorn Basin,Paleocene,-25.5,,
Bighorn Basin,Paleocene,-26,,
Bighorn Basin,Paleocene,-25.3,,
Bighorn Basin,Paleocene,-26,,
Bighorn Basin,Paleocene,-25.5,,
Bighorn Basin,Eocene,-26.2,,
Bighorn Basin,Eocene,-26.5,,
Bighorn Basin,Eocene,-26.7,,
Bighorn Basin,Eocene,-26.5,,
Bighorn Basin,Eocene,-27.3,,
Bighorn Basin,Eocene,-26.9,,
Bighorn Basin,Eocene,-25.3,,
Bighorn Basin,Eocene,-26.1,,
Bighorn Basin,Eocene,-25.3,,
Bighorn Basin,Eocene,-26.8,,
Bighorn Basin,Eocene,-25.5,,
Bighorn Basin,Eocene,-26.3,,
Hanna Basin,,,-30.9,
Hanna Basin,Eocene,-25.62,-34,-33.3
Hanna Basin,Eocene,-26.83,-34,-33.2
Hanna Basin,Eocene,-26.92,-31.9,-31.6
Hanna Basin,Eocene,-25.14,-31.5,-32
Hanna Basin,Eocene,-25.67,-31,
Hanna Basin,Eocene,-27.8,-31.7,-33.5
Hanna Basin,Eocene,-27.76,-30.6,-32.8
Hanna Basin,Eocene,-26.06,-31.3,-33
Hanna Basin,Eocene,-24.66,-30.5,-31
Hanna Basin,Eocene,-26.56,-32.2,-31.3
Hanna Basin,Eocene,-27.17,-32.3,-32.3
Hanna Basin,Eocene,-28.7,-32.8,-32
Hanna Basin,Eocene,-28.09,-30.7,-32.4
Hanna Basin,Eocene,-26.16,-31.5,-32.9
Hanna Basin,Paleocene,,-30.8,-32.2
Hanna Basin,Eocene,,-31.2,-33
Hanna Basin,Paleocene,,-30.4,-31.4
Hanna Basin,PETM,,-32.7,-34.3
Hanna Basin,,,-30.9,
Hanna Basin,PETM,,-30.9,-31.9
Hanna Basin,PETM,,-31,
Hanna Basin,PETM,,,
Hanna Basin,PETM,,-33,
Hanna Basin,PETM,,-34.4,-37.4
Hanna Basin,,,-33.8,-36.3
Hanna Basin,,,-31.9,-33.9
Hanna Basin,,,-30.5,-31.7
Hanna Basin,Eocene,,-31.4,
Hanna Basin,Eocene,,-30.7,-33.2
Hanna Basin,Eocene,,-31,-31.9
Hanna Basin,Eocene,,-29.9,-32.8
Hanna Basin,Eocene,,-30.7,-32.3
Hanna Basin,Eocene,,-30.6,-32.6
Hanna Basin,Eocene,,,
Hanna Basin,Eocene,,-30.5,-32.9
Hanna Basin,Eocene,,-29.5,-31.3
Hanna Basin,Eocene,,-31.6,-33.3
Hanna Basin,Eocene,,-30.2,-33.2
Hanna Basin,Eocene,,-30.3,-32.3
Hanna Basin,Paleocene,,-29.5,-31.2
Hanna Basin,Paleocene,,-31.2,-32.7
Hanna Basin,Paleocene,,,
