Basin,Epoch,Age,E_nC29_alkane,E_nC29_alkane_1sd,E_nC31_alkane,E_nC31_alkane_1sd,d13Catm,d13Catm_1sd,d13CnC29_alkane,d13CnC29_alkane_1sd,d13CnC31_alkane,d13CnC31_alkane_1sd
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-31.53,0.2,-31.75,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-31.49,0.2,-32.17,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-30.7,0.2,-31.77,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-31.14,0.2,-30.93,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-32.16,0.2,-33.36,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-30.83,0.2,-30.51,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-31.83,0.2,-32.29,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-31.48,0.2,-32.6,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-31.78,0.2,-32.02,0.2
Bighorn Basin,Eocene,52.98,-5.2,2.4,-5.6,2.5,-5.77,0.4,-31.85,0.2,-31.99,0.2
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,NaN,NaN,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,-29.98,0.2,-31.36,0.2
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,-30.92,0.2,NaN,NaN
Bighorn Basin,Eocene,54.37,-5.2,2.4,-5.6,2.5,-5.33,0.4,-30.45,0.2,-31.24,0.2
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,-30.69,0.2,-30.95,0.2
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,-30.93,0.2,-31.31,0.2
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,-31.34,0.2,-31.7,0.2
Bighorn Basin,Eocene,55.34,-5.2,2.4,-5.6,2.5,-4.99,0.4,-30.99,0.2,-31.83,0.2
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-30.8,0,-31.8,0.2
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-30.1,0.1,-31.3,0.1
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-30.6,0.1,-32,0.3
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-33.1,0.2,-32.5,0.2
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-30.9,0.5,NaN,NaN
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-31.7,0.3,-31.1,0.1
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-30.9,0.2,-31.7,0.2
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-31.2,0.2,-31.9,0.2
Bighorn Basin,Eocene,55.8,-5.2,2.4,-5.6,2.5,-4.76,0.4,-31.4,0.2,-32.2,0.2
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.2,0.1,-34,0.1
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-33.2,0.3,-34.5,0.2
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-33.9,0.1,-35,0
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.5,0.1,-35.1,0.1
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-35,0.2,-35.7,0.2
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.2,0.2,-35.8,0.3
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-35.8,0.2,-36.7,0.2
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-35.8,0.2,-36.6,0.1
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.4,0.2,-33.8,0.6
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.4,0.1,-35.6,0.1
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-36.4,0,-37.2,0.1
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-33.7,0.2,NaN,NaN
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-35.3,0.1,-36.3,0
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.1,0.1,-35.8,0
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-35.5,0,-36.5,0
Bighorn Basin,PETM,56,-5.2,2.4,-5.6,2.5,NaN,NaN,-34.4,0.2,-36.1,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-29.9,0.2,-30.3,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-30.7,0.2,-30,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-30.75,0.2,-30.54,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-31.01,0.2,-30.83,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.69,0.4,-30.71,0.2,-31.42,0.2
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-30.1,0.1,-30.8,0.1
Bighorn Basin,Paleocene,56.04,-5.2,2.4,-5.6,2.5,-4.7,0.4,-29.77,0.2,-30.38,0.2
